'Wijziging;Project;ID'	'Wijziging;ID'	'Wijziging;Korte omschrijving'	'Wijziging;Status'	'Wijziging;Categorie'	'ID'	'Korte omschrijving'	'Status'
'1.778'	'65.269'	'rib:Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'708.508'	'99 KPW Evaluatie vd wijziging '	'Wacht op uitvoering'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.889'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.888'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.887'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.886'	'35 OTAP Functionele test'	'Is uitgevoerd'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.885'	'40 OTAP Implementeren op acceptatie'	'Is uitgevoerd'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.884'	'45 OTAP GAT test'	'In uitvoering'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.883'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.882'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.881'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.880'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'	'714.879'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'66.563'	'FWE: Nieuwe DNS entry/entries voor FWE'	'In uitvoering'	'CAT0'	'722.909'	'20 KPW bouw'	'In uitvoering'
'1.778'	'66.563'	'FWE: Nieuwe DNS entry/entries voor FWE'	'In uitvoering'	'CAT0'	'722.908'	'35 KPW Funct. test'	'Wacht op uitvoering'
'1.778'	'66.563'	'FWE: Nieuwe DNS entry/entries voor FWE'	'In uitvoering'	'CAT0'	'722.907'	'45 KPW Gat test '	'Wacht op uitvoering'
'1.778'	'66.563'	'FWE: Nieuwe DNS entry/entries voor FWE'	'In uitvoering'	'CAT0'	'722.906'	'60 KPW Impl.op productie '	'Wacht op uitvoering'
'1.778'	'66.563'	'FWE: Nieuwe DNS entry/entries voor FWE'	'In uitvoering'	'CAT0'	'722.905'	'99 KPW Evaluatie vd wijziging '	'Wacht op uitvoering'
'1.778'	'66.566'	'FWE Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'722.937'	'20 KPW bouw'	'Is uitgevoerd'
'1.778'	'66.566'	'FWE Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'722.936'	'35 KPW Funct. test'	'In uitvoering'
'1.778'	'66.566'	'FWE Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'722.935'	'45 KPW Gat test '	'Wacht op uitvoering'
'1.778'	'66.566'	'FWE Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'722.934'	'60 KPW Impl.op productie '	'Wacht op uitvoering'
'1.778'	'66.566'	'FWE Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'722.933'	'99 KPW Evaluatie vd wijziging '	'Wacht op uitvoering'
'1.778'	'66.567'	'FWE C# 4.5 applicatie via script toevoegen in ADFS
Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter FWE het volgende script uitgevoerd te worden:

d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 WebFWE
'	'In uitvoering'	'CAT0'	'722.942'	'20 KPW bouw'	'Is uitgevoerd'
'1.778'	'66.567'	'FWE C# 4.5 applicatie via script toevoegen in ADFS
Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter FWE het volgende script uitgevoerd te worden:

d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 WebFWE
'	'In uitvoering'	'CAT0'	'722.941'	'35 KPW Funct. test'	'In uitvoering'
'1.778'	'66.567'	'FWE C# 4.5 applicatie via script toevoegen in ADFS
Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter FWE het volgende script uitgevoerd te worden:

d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 WebFWE
'	'In uitvoering'	'CAT0'	'722.940'	'45 KPW Gat test '	'Wacht op uitvoering'
'1.778'	'66.567'	'FWE C# 4.5 applicatie via script toevoegen in ADFS
Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter FWE het volgende script uitgevoerd te worden:

d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 WebFWE
'	'In uitvoering'	'CAT0'	'722.939'	'60 KPW Impl.op productie '	'Wacht op uitvoering'
'1.778'	'66.567'	'FWE C# 4.5 applicatie via script toevoegen in ADFS
Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter FWE het volgende script uitgevoerd te worden:

