HpSvcId	WorkorderId
67.251	730.622
67.251	730.627
67.251	730.621
67.251	730.623
67.251	730.624
67.251	730.625
67.251	730.626
67.727	735.907
67.727	735.908
69.400	755.714
69.400	755.713
69.400	755.712
69.400	755.711
71.041	774.619
71.041	774.615
71.041	774.616
71.041	774.618
71.041	774.620
71.041	774.621
71.041	774.617
71.194	776.334
71.194	776.333
71.194	776.332
71.194	776.331
71.194	776.330
71.194	776.335
71.878	783.617
71.878	783.622
71.878	783.621
71.878	783.620
71.878	783.618
71.878	783.619
69.204	753.464
69.204	753.463
69.204	753.462
69.204	753.465
69.201	753.439
69.201	753.438
69.201	753.437
69.201	753.440
68.313	743.201
68.313	743.200
68.313	743.199
68.312	743.197
68.312	743.194
68.312	743.195
68.312	743.196
68.310	743.186
68.310	743.185
68.310	743.184
68.310	743.187
68.311	743.192
68.311	743.191
68.311	743.190
68.311	743.189
68.308	743.167
68.308	743.166
68.308	743.168
68.308	743.169
68.308	743.170
68.308	743.171
68.404	744.088
68.404	744.081
68.404	744.082
68.404	744.083
68.404	744.084
68.404	744.085
68.404	744.087
68.404	744.089
68.404	744.090
68.404	744.086
63.979	694.301
63.979	694.302
63.979	694.303
63.979	694.304
63.979	694.306
63.979	694.305
64.349	698.486
64.349	698.485
64.349	698.484
64.349	698.483
64.349	698.482
64.349	698.487
65.859	714.882
65.859	714.879
65.859	714.881
65.859	714.883
65.859	714.884
65.859	714.880
68.403	744.079
68.403	744.070
68.403	744.071
68.403	744.073
68.403	744.072
68.403	744.075
68.403	744.076
68.403	744.078
68.403	744.077
68.403	744.074
71.827	783.095
71.827	783.094
71.827	783.093
71.827	783.092
71.827	783.091
71.841	783.117
71.841	783.115
71.841	783.114
71.841	783.116
71.841	783.119
71.841	783.121
71.841	783.120
71.841	783.118
66.570	722.962
66.570	722.961
66.570	722.960
66.572	722.986
66.572	722.983
66.572	722.985
66.572	722.987
66.572	722.988
66.572	722.989
66.572	722.984
66.573	722.997
66.573	722.996
66.573	722.995
66.573	722.994
66.595	723.234
66.595	723.231
66.595	723.233
66.595	723.232
66.596	723.236
66.596	723.241
66.596	723.240
66.596	723.239
66.596	723.238
66.596	723.237
69.399	755.709
69.399	755.706
69.399	755.708
69.399	755.707
66.597	723.245
66.597	723.246
66.597	723.248
66.597	723.247
