'ID'	'Korte omschrijving'	'Status'	'Categorie'
'70.995'	'Van WebHosting platform diensten de presentatie berichten webfarm toegang geven tot VIP066.  Gatdiensten:  RDW49030 > 10.222.6.30 RDW49031 > 10.222.6.31  Diensten: host 10.202.6.32 host 10.202.6.33'	'Geaccepteerd'	'CAT0'
'71.006'	'EDS DTS - Implementatie Product catalog update script'	'Geaccepteerd'	'CAT1'
'71.002'	'EDS DTS - Implementatie C# componenten'	'Gesloten'	'CAT1'
'71.048'	'EDS OVIZ - ADFS rule aanmaken op AP omgeving ivm C# migratie'	'In uitvoering'	'CAT1'
'71.051'	'toekennen autorisaties account'	'Geaccepteerd'	'CAT1'
'70.958'	'presentatie applicatie servers toevoegen aan ACL van VIP028 in gatdiensten en diensten'	'Gesloten'	'CAT0'
'71.005'	'EDS DTS - Implementatie SharePoint componenten'	'Geaccepteerd'	'CAT1'
'71.041'	'Van WebHosting platform diensten de presentatie (digitale diensten zone) webfarm toegang geven tot smbc0033 (''onderlangs'').'	'In uitvoering'	'CAT0'
'71.194'	'Verzoek toegang instellen tot VIP024 (A en P omgeving), poort 80'	'In uitvoering'	'CAT0'
'71.047'	'EDS RBCZ - ADFS rule aanmaken op AP omgeving ivm C# migratie'	'In uitvoering'	'CAT1'
'71.052'	'EDS DTS - autorisatie: toevoegen role ?ctlg_CatalogWriterRole?  aan account  zzedsruntimesvc2 op A en P'	'Geaccepteerd'	'CAT1'
'71.191'	'Verzoek toegang instellen tot VIP024 (A en P omgeving)'	'Gesloten'	'CAT0'
'71.266'	'NPR:Geo service OTAP serviceaccounts aanmaken voor C# 4.5 applicatie Geo201210'	'Geaccepteerd'	'CAT1'
'71.318'	'Aanmaken DNS voor OT domein'	'Geaccepteerd'	'CAT0'
'71.265'	'NPR: XSB srvice aanmaken/aanpassen DNS entries.'	'Geaccepteerd'	'CAT0'
'71.264'	'NPR:XSB service OTAP serviceaccounts aanmaken voor C# 4.5 applicatie XSB201210'	'Geaccepteerd'	'CAT1'
'71.349'	'Aanpassen ACL op VIP028(-o).ot.tld'	'Geaccepteerd'	'CAT0'
'71.345'	'RET: extra claims toevoegen in ADFS'	'Gesloten'	'CAT1'
'71.350'	'OVI: nieuwe release ter oplossing van inc. 522.875'	'Gesloten'	'CAT1'
'71.718'	'VRD Beheer: toevoegen functionaliteit kenteken generator'	'In uitvoering'	'CAT1'
